"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","regulation"
"ILMN_2075334",0.57809744066239,10.950616881352,5.21785782560049,0.000000613339688055273,0.00249721253991704,"UP"
"ILMN_2128128",0.521163450554113,7.51601291384366,4.12443713624596,0.0000622785274330695,0.0507134048887485,"UP"
"ILMN_1713875",0.478823843490929,6.3294813576653,4.0901914172736,0.000071075396511642,0.0526151776176637,"UP"
"ILMN_1782788",-0.417609189204313,13.0250492311807,-3.96282675022154,0.000115779153041654,0.073477145279562,"DOWN"
"ILMN_2189933",0.466819142764299,11.1563977926092,3.95606632745235,0.000118869368654349,0.073477145279562,"UP"
"ILMN_1784286",0.598164291125387,10.0471263727443,3.93736314329945,0.000127940749812136,0.073477145279562,"UP"
"ILMN_1773228",0.300065528326143,7.42274428416729,3.90383044909548,0.000144373612240328,0.073477145279562,"UP"
"ILMN_1733937",-0.34967567650247,8.69312088669439,-3.8725398254605,0.000162242618779613,0.0777142143954346,"DOWN"
"ILMN_1652342",-2.00791002908823,7.83227981073736,-3.82523638614578,0.000195526909020299,0.0837987168501208,"DOWN"
"ILMN_1710280",-0.345713792812884,10.5108862862657,-3.77032365551453,0.000236417701509511,0.0871299656962919,"DOWN"
"ILMN_2158242",-0.346571198040739,7.48433625959678,-3.76805827965682,0.000238379263470878,0.0871299656962919,"DOWN"
"ILMN_1772506",0.44208950672347,8.37957490786489,3.75041997971308,0.000254451424851295,0.0871299656962919,"UP"
"ILMN_1655549",-0.359399197762144,9.96574294436904,-3.73747678482371,0.00026641580298149,0.0871299656962919,"DOWN"
"ILMN_1715926",0.310512754750135,13.5968149122594,3.7306615921393,0.000273075952768371,0.0871299656962919,"UP"
"ILMN_1732328",0.465117596277898,10.5333793528026,3.71567799576753,0.000288899554684991,0.0871299656962919,"UP"
"ILMN_1670576",0.863599428503192,6.43535912858621,3.67659608119776,0.000333439205989328,0.0920713113728175,"UP"
"ILMN_1706434",-0.489794714916236,11.1681469599984,-3.64784459338056,0.000368628836029769,0.0920713113728175,"DOWN"
"ILMN_1761113",0.325444174608816,7.89561006796714,3.64030231272042,0.000377683863228084,0.0920713113728175,"UP"
"ILMN_1675448",-0.352984357354378,10.4021347293822,-3.60557120555355,0.000427170846393701,0.0920713113728175,"DOWN"
"ILMN_2097421",0.465012305927166,8.32847459897369,3.60339210696512,0.000431350983175835,0.0920713113728175,"UP"
"ILMN_1802257",-0.312758828124188,6.60755967999395,-3.58070360607037,0.000466295255083023,0.0920713113728175,"DOWN"
"ILMN_1693290",0.398077200999736,5.79841353383988,3.57844032618452,0.000470019037918956,0.0920713113728175,"UP"
"ILMN_1733453",-0.316967218461864,8.4546348396313,-3.57109520063737,0.000482298000934647,0.0920713113728175,"DOWN"
"ILMN_1718961",-0.408903485365842,8.59616121178832,-3.54898988247463,0.000521488279881383,0.0920713113728175,"DOWN"
"ILMN_1782633",0.302567384332141,7.93830699817764,3.51719516912675,0.000582094022361906,0.0920713113728175,"UP"
"ILMN_2366391",0.301881120413981,9.31942572252481,3.5127119131954,0.000591216155279046,0.0920713113728175,"UP"
"ILMN_1717163",-0.376074548542766,9.02695124678474,-3.51043569366844,0.000596071353972612,0.0920713113728175,"DOWN"
"ILMN_1661266",-1.69960908336259,7.24410204965819,-3.48762916022827,0.00064989246761178,0.0920713113728175,"DOWN"
"ILMN_1792528",0.412509086512243,13.1179809061146,3.48280479347746,0.000656956622455027,0.0920713113728175,"UP"
"ILMN_1755883",0.363393929108902,12.5278512675291,3.4808271775329,0.000660397829953338,0.0920713113728175,"UP"
"ILMN_1768176",0.322235455432042,7.41408693852691,3.47775210902211,0.000667101482377039,0.0920713113728175,"UP"
"ILMN_1746516",0.421339341450222,13.0214397062148,3.47287443046051,0.000679846876423609,0.0922665519119575,"UP"
"ILMN_1744713",0.32808270129401,8.22012833075283,3.46412918477626,0.000699077631475289,0.0933211336574308,"UP"
"ILMN_1743204",0.413151812084352,6.74049181012378,3.42969823620937,0.000786426325100223,0.099246426622866,"UP"
"ILMN_1662174",-0.335239359506571,7.51646820631008,-3.42799739429444,0.000790996012019972,0.099246426622866,"DOWN"
"ILMN_1815010",-0.407068349968337,6.30463727748993,-3.42685303230071,0.000794084591932982,0.099246426622866,"DOWN"
